week,posteam,noruns,nopass,noplays,touchdown,yards_gained,touchdown_rush,yards_rushing,epa
15,DEN,28,0,28,2,140,2,140,5.16430002910784
15,DET,27,0,27,2,123,2,123,-7.21339470118983
15,GNB,27,0,27,2,195,2,195,9.8401420560549
15,HOU,21,0,21,0,83,0,83,2.55841657606652
15,IND,23,0,23,1,127,1,127,5.55709222983569
15,JAC,22,0,22,0,62,0,62,-6.34247954952298
15,KAN,41,0,41,1,179,1,179,2.10264450951945
15,LAC,29,0,29,2,96,2,96,-6.68703810192528
15,LAR,19,0,19,0,114,0,114,-3.64640728442464
15,LVR,41,0,41,2,173,2,173,0.895366660610307
15,MIA,42,0,42,3,250,3,250,15.5025172173337
15,MIN,28,0,28,1,158,1,158,-1.66096692963038
15,NOR,17,0,17,1,60,1,60,-3.04773953655968
15,NWE,22,0,22,0,117,0,117,0.79717704468376
15,NYG,21,0,21,0,74,0,74,-4.92927313171094
15,NYJ,31,0,31,1,93,1,93,-5.04682709358167
15,PHI,29,0,29,1,117,1,117,-2.20687688930775
15,PIT,23,0,23,1,86,1,86,-7.85134327618289
15,SEA,26,0,26,1,181,1,181,9.51623434550129
15,SFO,36,0,36,1,150,1,150,0.575398564670979
15,TAM,18,0,18,2,51,2,51,-4.0089075602591
15,TEN,38,0,38,3,195,3,195,6.79140490057762
15,WAS,20,0,20,1,84,1,84,1.4066574293538
16,ARI,27,0,27,1,120,1,120,7.93436153119546
16,ATL,23,0,23,0,90,0,90,-1.49200939404545
16,BAL,40,0,40,1,249,1,249,4.08646216164925
16,BUF,31,0,31,1,130,1,130,5.16350502144107
16,CAR,35,0,35,1,113,1,113,0.605728459137026
16,CHI,33,0,33,3,128,3,128,4.41693359767669
16,CIN,33,0,33,2,169,2,169,2.26642229362354
16,CLE,18,0,18,2,45,2,45,-1.07170544791734
16,DAL,34,0,34,1,151,1,151,-1.65797387345783
16,DEN,28,0,28,1,133,1,133,1.93898276682012
16,DET,15,0,15,0,73,0,73,-6.09379427146632
16,GNB,37,0,37,2,234,2,234,11.6921565118246
16,HOU,17,0,17,1,166,1,166,8.96351203613449
16,IND,28,0,28,2,127,2,127,6.61329582345206
16,JAC,16,0,16,0,76,0,76,-1.91798748238944
16,KAN,21,0,21,0,117,0,117,2.64151453398517
16,LAC,20,0,20,0,89,0,89,0.240698321722448
16,LAR,29,0,29,0,118,0,118,-7.6927021286445
16,LVR,24,0,24,1,104,1,104,-1.52785734110234
16,MIA,25,0,25,0,130,0,130,3.27547448365889
16,MIN,17,0,17,2,90,2,90,3.87116080988199
16,NOR,45,0,45,7,264,7,264,15.3765753955231
16,NWE,24,0,24,1,145,1,145,2.90004550700542
16,NYG,12,0,12,0,54,0,54,1.86709430918563
16,NYJ,34,0,34,0,131,0,131,-4.96314584615175
16,PHI,29,0,29,1,151,1,151,-2.3895298448042
16,PIT,14,0,14,1,22,1,22,-3.49000372743467
16,SEA,24,0,24,1,95,1,95,-4.32854990725173
16,SFO,30,0,30,0,227,0,227,6.25594859632604
16,TAM,26,0,26,1,111,1,111,-1.72510593681363
16,TEN,27,0,27,1,156,1,156,3.8589190308121
16,WAS,19,0,19,0,108,0,108,4.46365681756288
17,ARI,18,0,18,0,48,0,48,-4.68766648188466
17,ATL,26,0,26,1,127,1,127,-3.8087008948205
