"game_id","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date.x","season","game_date.y","player_id","pos","player","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","Total_DKP","Off_DKP","Total_FDP","Off_FDP","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","offense","off_pct","last_300_median_DKP","last_300_median_FDP","last_600_median_DKP","last_600_median_FDP"
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","BellNi01","FB","Nick Bellore","SEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,NA,NA,NA,NA
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","WillLu00","TE","Luke Willson","SEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,NA,NA,NA,NA
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","HartPe01","WR","Penny Hart","SEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,NA,NA,NA,NA
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","SmitKe03","FB","Keith Smith","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,NA,NA,NA,NA
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","ZaccOl01","WR","Olamide Zaccheaus","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,NA,NA,NA,NA
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","GrahJa01","TE","Jaeden Graham","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,NA,NA,NA,NA
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","BlakCh00","WR","Christian Blake","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,5.85,4.35,5.85,4.35
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","PoweBr00","WR","Brandon Powell","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,NA,NA,NA,NA
"202009130buf","NYJ","BUF",17,27,"False","outdoors","astroturf",67,93,15,-6.5,"BUF","39.5",2020-09-13,2020,"2020-09-13","DarnSa00","QB","Sam Darnold ","NYJ",21,35,215,1,1,3,13,69,75.3,1,6,0,6,0,0,0,0,0,0,1,0,39,39,0,"NYJ","BUF",0,0,0,0,0,0,12.2,12.2,11.2,11.2,265,7,20,3,6,0,0,0,0,0,56,100,13.29,12.14,13.62,12.5
"202009130buf","NYJ","BUF",17,27,"False","outdoors","astroturf",67,93,15,-6.5,"BUF","39.5",2020-09-13,2020,"2020-09-13","PerrBr02","WR","Breshad Perriman","NYJ",0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,17,0,13,0,0,0,0,0,0,"NYJ","BUF",0,0,0,0,0,0,4.7,4.7,3.2,3.2,0,0,0,0,0,0,0,37,10,0,56,100,23.8,18.2,23.8,18.2
"202009130buf","NYJ","BUF",17,27,"False","outdoors","astroturf",67,93,15,-6.5,"BUF","39.5",2020-09-13,2020,"2020-09-13","HogaCh00","WR","Chris Hogan ","NYJ",0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,"NYJ","BUF",0,0,0,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,49.2,0,0,51,91,3.4,2.4,3.4,2.4
