posteam,week,nodrives,noplays,noruns,nopass,sack,interception,incomplete_pass,complete_pass,notds,touchdown_rush,touchdown_pass,yards_gained,yards_passing,yards_receiving,yards_rushing,yards_after_catch,air_yards2,air_yards,epa,def_nodrives,def_noplays,def_noruns,def_nopass,def_sack,def_interception,def_incomplete_pass,def_complete_pass,def_notds,def_touchdown_rush,def_touchdown_pass,def_yards_gained,def_yards_passing,def_yards_receiving,def_yards_rushing,def_yards_after_catch,def_air_yards2,def_air_yards,def_epa
CIN,14,9,70,30,38,2,0,10,28,2,0,1,309,222,222,101,145,77,153,-18.1338952992228,8,50,25,23,2,0,7,16,2,0,2,272,185,185,101,65,120,186,8.0566199815263
CIN,15,14,56,41,13,2,0,6,7,3,2,1,230,89,89,152,24,65,179,-6.37100674350278,14,62,23,38,1,1,17,20,2,1,1,244,170,170,86,105,65,307,-20.4226350303688
CIN,16,11,71,33,38,0,0,9,29,4,2,2,540,371,371,169,187,184,329,24.5227312662643,11,51,17,33,1,0,9,24,4,1,3,488,324,302,166,116,186,339,12.434617999499
CIN,17,11,40,19,21,0,2,13,6,0,0,0,195,48,48,147,33,15,155,-23.3739362067729,11,73,54,19,0,1,7,11,5,2,3,525,121,121,404,45,76,191,25.4826739748015
CLE,1,11,68,27,39,2,1,17,21,1,0,1,306,189,189,138,34,155,358,-16.4293415714336,11,58,30,26,2,0,5,21,5,2,3,381,284,284,111,77,207,257,11.6342701098362
CLE,2,10,58,35,23,0,1,6,16,5,3,2,434,219,219,215,73,146,210,17.7546210279979,9,87,24,61,3,0,24,37,3,0,3,353,316,316,68,127,189,486,6.38297982812418
CLE,3,11,62,37,23,2,0,7,16,4,2,2,300,156,156,158,66,90,189,4.57411593228554,12,62,22,37,3,3,13,21,3,1,2,309,224,224,103,145,79,245,-7.15545575565193
CLE,4,13,72,40,31,2,0,11,20,6,3,3,508,202,202,307,44,158,295,27.1000286742352,12,79,18,58,3,1,16,41,5,1,4,566,502,502,85,235,267,511,9.22992126102326
CLE,5,9,72,33,38,1,2,14,22,2,0,2,385,265,265,124,81,184,340,2.65446832107926,10,52,18,33,1,2,10,21,2,1,0,308,243,243,68,101,142,263,-2.27330811210952
CLE,6,12,54,22,28,4,2,11,15,2,0,1,220,165,165,75,86,79,144,-27.8055603547837,12,62,37,23,2,0,8,15,4,3,1,277,168,168,129,71,97,172,5.1106433303011
CLE,7,9,50,22,29,0,1,5,23,5,0,5,398,316,316,82,114,202,286,21.2408090465338,9,73,21,48,4,1,11,36,4,1,3,468,422,422,81,219,203,441,18.7311823444946
CLE,8,6,47,22,25,0,0,13,12,0,0,0,223,122,122,101,74,48,193,-1.36564779502976,7,70,45,24,2,0,9,15,1,0,1,309,111,111,209,60,51,140,9.91793875578751
CLE,10,8,62,41,20,1,0,8,12,1,1,0,356,132,132,231,55,77,165,-2.79779223624019,8,54,22,30,2,0,10,20,1,0,1,243,163,163,90,92,71,180,0.692595007007855
CLE,11,13,64,40,22,3,0,10,12,1,1,0,324,204,204,137,42,162,260,-13.1282878817068,13,65,25,35,5,2,12,21,3,0,2,315,235,235,106,105,130,244,-15.5197259688032
CLE,12,9,64,33,29,2,0,10,19,3,1,2,459,258,258,207,117,141,235,12.7770977689933,9,59,25,35,0,0,15,20,3,1,2,375,235,235,140,117,118,354,11.0179490000311
CLE,13,12,70,36,34,0,0,8,26,5,1,4,458,340,340,118,190,150,212,17.0690360096557,12,66,18,45,3,1,15,29,5,1,3,431,389,389,62,132,257,487,2.62118639925029
CLE,14,12,76,28,48,0,1,18,29,6,4,2,493,355,355,138,142,213,446,17.9750477823687,11,56,32,21,4,0,9,12,6,5,1,385,176,176,231,62,114,226,21.2890624094969
CLE,15,7,63,30,32,1,0,5,27,3,1,2,392,297,297,106,107,190,235,16.4707759629819,8,54,21,32,1,0,13,19,0,0,0,288,221,221,74,85,136,298,-3.29639302828516
CLE,16,13,73,18,53,4,0,25,28,2,2,0,299,285,285,45,120,165,412,-10.2430744712267,13,69,34,33,2,0,16,17,3,0,3,333,218,218,131,125,93,318,-1.1067459878099
CLE,17,10,62,31,27,4,0,10,17,3,2,1,358,196,196,192,60,136,258,8.62835966832346,9,65,20,44,1,1,17,26,2,0,2,394,317,317,85,108,209,418,8.30087341057722
DAL,1,10,69,27,39,3,0,14,25,2,1,1,380,266,266,136,114,152,283,-1.36874030933904,11,72,40,31,1,1,10,20,2,2,0,422,275,275,153,195,80,140,1.6936029748686
DAL,2,13,80,31,49,1,0,15,34,5,4,1,570,450,450,125,205,245,381,6.7622948563541,12,72,34,37,1,0,13,24,4,0,4,380,273,273,113,105,168,377,9.15381081029316
DAL,3,14,80,21,57,2,2,18,37,4,1,3,522,472,472,61,186,286,458,11.6874719820121,14,70,26,40,4,0,13,27,5,0,5,412,315,315,117,74,241,394,4.04133697159705
DAL,4,12,79,18,58,3,1,16,41,5,1,4,566,502,502,85,235,267,511,9.22992126102326,13,72,40,31,2,0,11,20,6,3,3,508,202,202,307,44,158,295,27.1000286742352
DAL,5,10,64,29,33,2,1,8,24,4,2,1,402,288,288,126,103,185,237,1.8694807697597,10,62,27,33,2,0,13,20,3,2,0,300,222,222,89,111,111,194,-0.899922010748066
DAL,6,11,84,27,54,3,2,18,34,1,0,1,344,266,266,97,153,113,301,-14.8381607738423,11,60,35,24,1,0,15,9,5,3,2,438,188,188,261,117,71,240,19.1368800762116
