week,posteam,nopass,noplays,touchdown,yards_gained,yards_passing,interception,sack,qb_hits,incomplete_pass,complete_pass,yards_receiving,touchdown_pass,yards_after_catch,air_yards,air_yards2,epa
10,CAR,28,28,2,148,148,1,0,5,7,20,148,2,79,195,69,-4.31645639588442
10,CHI,29,29,0,124,124,1,0,8,12,16,124,0,59,236,65,-10.8218117415075
10,CIN,38,38,1,213,213,0,0,5,17,21,213,1,107,341,106,-9.22981347012052
10,CLE,19,19,0,132,132,0,0,1,7,12,132,0,55,165,77,1.56292108353227
10,DEN,45,45,1,257,257,4,0,4,18,23,257,1,64,393,193,-13.1061839909487
10,DET,32,32,3,276,276,0,0,0,8,24,276,3,146,214,128,13.6419977736944
10,GNB,33,33,2,325,325,1,0,1,8,24,325,2,237,199,88,3.70304743460371
10,HOU,28,28,1,163,163,0,0,1,8,20,163,1,92,184,71,5.10339889319651
10,IND,36,36,1,308,308,0,0,0,7,29,308,1,205,191,103,17.2452519164413
10,JAC,34,34,1,169,169,1,0,1,15,18,169,1,92,192,77,-7.44608356815801
10,LAC,32,32,2,187,187,1,0,6,11,20,187,2,132,229,55,-2.37317120132502
10,LAR,36,36,0,302,302,0,0,2,9,27,302,0,162,277,140,13.6650376257462
10,LVR,22,22,0,154,154,0,0,0,6,16,154,0,64,213,90,6.61896256958084
10,MIA,24,24,2,169,169,0,0,1,9,15,169,2,44,261,125,9.95664063996269
10,MIN,32,32,2,292,292,1,0,2,6,25,292,2,147,241,145,9.61071036754969
10,NOR,23,23,1,139,139,0,0,2,9,14,139,1,116,103,23,1.69439652424182
10,NWE,17,17,2,142,142,0,0,2,3,14,142,2,66,103,76,10.0275066770751
10,NYG,28,28,0,244,244,0,0,4,7,21,244,0,59,237,185,10.298625083769
10,PHI,36,36,0,208,208,0,0,9,15,21,208,0,79,328,129,1.47867343282841
10,PIT,46,46,4,333,333,0,0,8,19,27,319,4,138,431,181,11.5576934172931
10,SEA,35,35,0,248,248,2,0,7,11,22,248,0,143,346,105,1.57062597834949
10,SFO,39,39,1,247,247,2,0,6,13,24,247,1,121,264,126,2.26616832462059
10,TAM,38,38,3,341,341,0,0,5,10,28,341,3,168,315,173,25.044648483693
10,TEN,27,27,1,147,147,0,0,4,12,15,147,1,76,197,71,-1.53985963357437
10,WAS,52,52,0,390,390,0,0,5,14,38,390,0,197,315,193,16.9959439619956
11,ARI,39,39,2,269,269,0,0,3,10,29,269,2,136,268,133,17.9324390539841
11,ATL,34,34,0,232,232,1,0,3,14,19,232,0,52,354,180,-1.28926299335979
11,BAL,28,28,1,186,186,1,0,0,10,17,186,1,104,278,82,7.91509734023919
11,CAR,35,35,1,258,258,2,0,1,9,24,258,1,123,235,135,-0.49710711500382
11,CIN,44,44,1,233,233,1,0,7,18,25,233,1,89,421,144,-0.740392051259574
11,CLE,18,18,0,204,204,0,0,0,6,12,204,0,42,260,162,9.58485708551598
11,DAL,31,31,3,203,203,1,0,1,8,22,203,3,80,202,123,2.15644227206206
11,DEN,30,30,0,270,270,1,0,4,11,18,270,0,140,341,130,1.51329411044602
11,DET,32,32,0,178,178,0,0,2,14,18,178,0,93,192,85,-2.85448325495236
11,GNB,35,35,3,311,311,1,0,0,7,27,311,3,134,288,177,4.02760119700209
11,HOU,37,37,2,344,344,0,0,2,9,28,344,2,167,314,177,20.1244893598025
11,IND,35,35,3,288,288,1,0,3,10,24,288,3,164,259,124,6.2237433942035
